epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,137.245,0.27941,0.95405,1,0.13155,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769
2,279.099,0.1569,0.96887,1,0.10062,0.0197852,0.00659508,0.0197852,0.00659508,0.0197852,0.00659508,0.0197852,0.00659508
3,414.831,0.13396,0.97163,1,0.09743,0.0293894,0.00979647,0.0293894,0.00979647,0.0293894,0.00979647,0.0293894,0.00979647
4,552.392,0.12785,0.97321,1,0.07773,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,688.472,0.10957,0.97628,1,0.069,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,828.133,0.10795,0.97999,1,0.06466,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,968.561,0.10336,0.98062,1,0.06077,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1106.17,0.09954,0.98084,1,0.05558,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1242.71,0.09632,0.98179,1,0.05763,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1383.63,0.09499,0.97967,1,0.05813,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1521.7,0.09253,0.98126,1,0.05655,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1659.78,0.09319,0.98179,1,0.05547,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1797.15,0.09229,0.98264,1,0.0508,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1936.51,0.0943,0.98242,1,0.05504,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2073.73,0.09338,0.98285,1,0.05155,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2211.55,0.09021,0.98317,1,0.05039,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2348.59,0.09174,0.9838,1,0.05077,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2490.55,0.0869,0.98454,1,0.04685,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2629.24,0.09025,0.98454,1,0.04595,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
